fingerprint,title,author,issue,date,categories,tags,id,license,comments,source-hostname,hostname,source,excerpt,filename,has_text
SiPCuwXCB+uZXdiG98NXVUb3VfM=,Please Don't Let Go,Jo Lindsay Walton,83,2020-09-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/please-dont-let-go,IN THE COURT OF SESSION,./scrape/jsonfiles/1Ce29+ur1Zccm8Okj7An6HjaJss.json,TRUE
iW5C28+D6JpjJUYnnTSu0Jscj+0=,Sally the Psychic Alligator,,22,2015-04-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue22/chapter/sally-the-psychic-alligator/,Editor’s note: This story has been removed from our site.,./scrape/jsonfiles/zWtw+oYiDw9puTmbffLmwoF9DPg.json,TRUE
717Qzi4ELrhYNEJ01RJhlLS2dL0=,For Mrs. Q,,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/for-mrs-q,for Stephanie Shaw,./scrape/jsonfiles/nJH9ZFQfh3AKzl23MEmtws72vTc.json,TRUE
V3zTQksGYPAOPa6+NTFqRwLEZCo=,Snow Ninjas of the Hymalayas,,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue1/chapter/snow-ninjas-of-the-hymalayas/,,./scrape/jsonfiles/yH+iDq7pAK4B8WruoegNoZf0WGo.json,TRUE
5zlwTQkWKvRA/NpLo92UN+aDHe8=,Mother Tongue,,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/gupta-mother-tongue,"On the train, I taste the craggy imperfections of my molars, savoring the vestigial calcifications as I would a phoneme, like the ones ma used to teach me: b...",./scrape/jsonfiles/5XX1pLzCrtnlnLfIzIV7aIly-HY.json,TRUE
7A2N40+cr0ds8jCRzZt7xq4fr4g=,If We Live to Be Giants,Allison Mulder,47,2017-09-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/if-we-live-to-be-giants,"Grandpa measures our heights every day against the hallway markings. Rhiannon and I stand flat as we can, afraid even breathing will subtly lengthen our spines.",./scrape/jsonfiles/003OXllnoCrIibY036llR1Duy6Y.json,TRUE
ztIOW++ul99/vrZTca6xCr6PNOk=,How to Spend Your Free Time,,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/how-to-spend-your-free-time,First see to your obligations,./scrape/jsonfiles/53yn3sm22L3Kzz7XQ24pPbv033o.json,TRUE
P6lIK1eLfIYwYADqp8JV+vhowxU=,There Is No Beauty Without Resistance,Dominica Phetteplace; illustrated by Stephanie Singleton,74,2019-12-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/there-is-no-beauty-without-resistance,"In the summer after abortion was outlawed, a lot of us went wild with our makeup. We started wearing thick stripes of dark eyeliner, or we drew teeth on our ...",./scrape/jsonfiles/1tN9doi+TAX8cit8X5cVKfIvHgw.json,TRUE
qhE0qPlvrx/GAtCcPM/tzhP+8J4=,The Whale of Tikpiti’i,A. A. McNamara,47,2017-09-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/the-whale-of-tikpitii,"You didn’t think I had it in me, did you? On the Island Tikpiti’i there is a way of doing things and a way of not doing things. You, Harold Onyame, are a pri...",./scrape/jsonfiles/ovqzNNqnWLoS7Q3jwm0KY-K2I68.json,TRUE
Z6549cyrObDbfP4X7gd8EHqNl8o=,CONELRAD 1960 / COVID 2020,,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/conelrad-1960-covid-2020,I. Invitation,./scrape/jsonfiles/p+3sbYSjSMvUIuZQBHIGFSXFZRA.json,TRUE
jYlxzNH6dA3eHqSVW7lAoE2EG68=,"Three of Swords, King of Cups",,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/three-of-swords-king-of-cups,"Sometimes, I put my heart in a mason jar, cover it with herbs wrap the glass in lights, and let it shine in the dark.",./scrape/jsonfiles/6w01JTGTLnMqjsiBj15MraOq6aw.json,TRUE
+x2V90dUcCzDZqBWjc53RcvMCGQ=,AIs Who Make AIs Make the Best AIs!,Andrea Kriz,102,Spring 2022,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/ais-who-make-ais-make-the-best-ais,"Jo watched as the AI formerly known as the house-painting assistant raised a CRT high, smashing it down into the mountain of shattered monitors at her feet. ...",./scrape/jsonfiles/fA5vUXrlU83hmojhnOJRMl8v-is.json,TRUE
fqvpHCT/mdPDWmc9yQeZP3n8Eqg=,A Silly Love Story,Nino Cipri,20,2015-02-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue20/chapter/a-silly-love-story/,There is something haunting Jeremy’s closet.,./scrape/jsonfiles/vtDOAmr1yVwg2m1Yt28HF7wgBwI.json,TRUE
TC4v2RjwE5zMvyl65TlYbAdO88E=,Gender and Other Faulty Software,John Wiswell,78,2020-04-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/gender-and-other-faulty-software,Log001: This is my eighty-first ship reclamation in four weeks for UniClaim. I never knew there were so many abandoned vessels in the asteroid belt. They’re ...,./scrape/jsonfiles/73T5d4Gb2EDECodE4dNmz2KTfak.json,TRUE
F65rztPVB5BPROlkiJVTfvybjo4=,"Shelter, Sustenance, Self",Aimee Ogden,71,2019-09-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/shelter-sustenance-self,"“It’s me,” Phil lies. “It’s Phil. It’s Daddy.”",./scrape/jsonfiles/39cIo+zn5PdO-Ud+X+TWYU7Wh9s.json,TRUE
+ORbyoaoGk1t8YRvNMU7bHFCruA=,Object Permanence,James Yu,86,2020-12-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/object-permanence,Zain started tweeting as the lighthouse on a lark. The federal board certainly didn’t order him. Even the coast guard had stopped maintaining Oren Lighthouse...,./scrape/jsonfiles/UeN1WxT-6KpKmuXJLb5cZ23uaR4.json,TRUE
Lw5Gq2kkgaV8i3KqFiwpikZSqMg=,The Mixed Medium,Erica Plouffe Lazure,94,2021-08-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/the-mixed-medium,Maybe it wasn’t the best idea — making pottery from a dead person’s ashes — but enough people called after the ad posted that it evolved from a backyard side...,./scrape/jsonfiles/xkfuTthHmyFyrdGDvCdTkH1jxuQ.json,TRUE
7g5dfy3j338NK24b1fhD0Y9MCpI=,Letters from Yours,Em Liu,86,2020-12-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/letters-from-yours,"Papa,",./scrape/jsonfiles/Tr5UqqR9AQqaGxx4FknEKU6eWCw.json,TRUE
VVCLmib0f+fPgoDqoa6TSgc4BbE=,Submitting to Fireside,,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/submissions,"Fireside Fiction Company has two goals: to find and publish great stories regardless of genre, and to pay our writers and artists well.",./scrape/jsonfiles/ei4nRSmlfXTEyzIK93OOweP2m9Y.json,TRUE
sCDHpO/XA9cN91qh8fuY8K829nQ=,Strange Music,NIB,90,2021-04-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/strange-music,"The worst part of the bombing was the music. Each explosion was timed to the drum beat, each burst of fanfare trumpeted in the streets as buildings shook and...",./scrape/jsonfiles/PnV0TjRW5m0HMR5odd9GTS7z8Dw.json,TRUE
O07gtYsAyqn7nsc65QNQTrK1YpA=,The New Heart,Natalia Theodoridou,61,2018-11-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/the-new-heart,"The new heart has no frills. It needs none. It is made of limestone, hard and white. The heart maker allows herself just one decorative element, to remind he...",./scrape/jsonfiles/1yKg1ZLJdelGGe39U8wnU1+7PpY.json,TRUE
/2/wGq/aaGFTGU9RY2gAz6NmOS4=,Narrative Control,Kyle Kirrin,84,2020-10-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/narrative-control,"“Begin narration. You are sitting on the couch, hating yourself for your contented indolence, wondering if any of your friends have noticed how much weight y...",./scrape/jsonfiles/A8b9LTsx-HQ66MCGmcAKQiOVZLc.json,TRUE
S9Ui8tYlRDwCUL/1foXiez5gWtw=,Take On Me: Chapters One-Five,Minerva Zimmerman,27,2015-09-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue27/chapter/take-on-me-chapters-one-five/,Chapter One,./scrape/jsonfiles/qbzVstrVrpxRd5w8EWVGbGu8EyI.json,TRUE
3akVd3D+VpSmGHlLYmS4eNt+aHU=,La Bestia,Stephen Blackmoore; illustrated by Galen Dara,26,2015-08-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue26/chapter/la-bestia/,The worst part is getting onto the train.,./scrape/jsonfiles/su985F15moYQVfzlEr+Lp6zXFiA.json,TRUE
INKCrgfEH+f7qMtD8C8I4cDGuGw=,Sell it Like Death,James McGee; illustrated by Galen Dara,6,2013-10-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue6/chapter/sell-it-like-death/,"The first thing I do when I get to the armory is check the roster. A silly thing, I guess, but I just like to see my name in print, you know? Having it in bl...",./scrape/jsonfiles/4ZucLmnHuFcOIAXKCNqXPxVPg0E.json,TRUE
kRoGx4CGCPHbcGBbrVME5Ydt4P8=,"Look Upon my Works, Ye Mighty, and Despair (In Three Months)",Helena Bell; illustrated by Galen Dara,25,2015-07-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue25/chapter/look-upon-my-works-ye-mighty-and-despair-in-three-months/,"Samantha believed she was not the last person left alive in the world, but she hadn’t seen anyone else since she had to kill her brother Oliver over Christma...",./scrape/jsonfiles/j9YDsFUZSyVmDjjOUM21mnxnjRU.json,TRUE
OJolhoDb/9bAKiwFQr4FNApg25U=,Four Tons Too Late,K. C. Alexander; illustrated by Galen Dara,11,2014-03-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue11/chapter/four-tons-too-late/,Patient #8620-87,./scrape/jsonfiles/19tdFYPR6BVPNOjf6KsSjnkzzJ0.json,TRUE
7Ulagz7gOc3FlvYEumMkZN0w2yU=,Two Years Dead,Kathryn Kania,51,2018-01-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/two-years-dead,"When I opened up my OKCupid profile, I was already two years dead.",./scrape/jsonfiles/Krv1cnjmDUQEODVDDQJrs0N10PI.json,TRUE
o81bc7yR4L8ZSQJZVIv1tbzfobo=,Ask The Cats,Stefon Mears,11,2014-03-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue11/chapter/ask-the-cats/,“Did you finish off the graham crackers?”,./scrape/jsonfiles/AmqSfhrWbepLvH+FECQJAyjVwFQ.json,TRUE
agK96u+BtbYY9zrWHy3twbGwEBk=,Narrative Disorder,Malka Older; illustrated by Galen Dara,43,2017-05-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/narrative-disorder,Mishima was the youngest person ever to be diagnosed. Her third-year teacher became suspicious after overhearing her retell a five-minute trip to the bathroo...,./scrape/jsonfiles/PMV-yrJ5UJTcLrMHK8aBB-YVTl8.json,TRUE
L0lil6KCNHmiHg1pbrxFlAcT/Wk=,How to Haunt Your Local Forest,Kate Lechler,92,2021-06-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/how-to-haunt-your-local-forest,1. Fill the forest with magical sigils.,./scrape/jsonfiles/mvaiM75tFSUe6jq2jyK2yOwlgdc.json,TRUE
9kd+3qQAJfyZ/dm/ohptJzUe17A=,The Haunting of 13 Olúwo Street,Suyi Davies Okungbowa,72,2019-10-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/the-haunting-of-13-oluwo-street,"You’d think I would be a wastrel. You’d think my roof would have rusting zinc that flaps, iron dust floating in the night wind, rotting wood barely supportin...",./scrape/jsonfiles/Jl+iR7aZ+S4FueYiy4N7T-B+SIo.json,TRUE
4ZDK+YSWIlHpdyoO+YvFFoC6UuA=,"Body, Remember",Nicasio Andres Reed,85,2020-11-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/body-remember,"Jun’s Italian is worse than it should be, considering he’s been in the country, on and off, for the past three years. Tonight it’s worse than usual.",./scrape/jsonfiles/grBQr-rowupssBlkuEU1eos0suk.json,TRUE
lR/lFQrXh0gq7uLid07nOubqNYE=,STET,Sarah Gailey,60,2018-10-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/stet,Section 5.4 — Autonomous Conscience and Automotive Casualty,./scrape/jsonfiles/u9sF47t0y86z4khqzgsPbB1yMWc.json,TRUE
u0l4SmGyu565nxzdGLY0pnVgo/0=,synthia.py,Hal Y. Zhang; illustrated by Anna Dittmann,84,2020-10-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/synthia-py,from __future__ import soul import soma import secrets import time import random import sys,./scrape/jsonfiles/5JlLn4gWpmv7prTsxHw3YsVjA54.json,TRUE
P1vixMiuv1e7BN4LNqQtmFCOmJk=,"For Change is the Moon’s Domain, and Tonight She Watches",Izzy Wasserstein,79,2020-05-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/for-change-is-the-moons-domain-and-tonight-she-watches,"Deborah smoothed out her skirt, scratched at the wiry hairs on her chin, and prayed for the wind to die. The midsummer moon’s reflection rippled and danced o...",./scrape/jsonfiles/cTTUwUHaKe4SWwPyqxrQa-804dA.json,TRUE
bz1GE9px7ZuAaeBhJkPmESMnYMM=,Death’s Garden,Day Al-Mohamed,17,2014-11-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue17/chapter/deaths-garden/,"Come, Best Beloved. Come sit with me, and I shall tell you a story.",./scrape/jsonfiles/uYdDjLTdw8RC-zlQg8mzb+gUKwo.json,TRUE
PgwlrUX0XuOCVuW+2/r+L9GU6JQ=,All That Holds Me Together,A. K. Snyder,29,2016-01-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue29/chapter/all-that-holds-me-together/,"“I want a wound,” I say.",./scrape/jsonfiles/XYrWyTJGVk0YaN5lKTL-yoUOK3A.json,TRUE
kDzlxpPG4Rx8O6ObdTUAH1oGHq8=,"A Message From Her Feline Self, Unborn, to Her Cousin, Whose Ancestors Were Once Wolves",,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/a-message-from-her-feline-self,"Our mother tears open the moon to show us futures when we are still wrapped in her belly, womb-warm, nursing trust and waiting to be given shape. In sleep, s...",./scrape/jsonfiles/5MC7j1WE8pFiaRAeKoZpnY4OviQ.json,TRUE
DJ7fMdbFhNgZUWokkhX5OV5TxEI=,A Letter to My Sister,Nilah Magruder,62,2018-12-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/a-letter-to-my-sister,"My dearest Cassa,",./scrape/jsonfiles/pQs+hNcaMsT9J9-rawj7X5fvx+w.json,TRUE
+R/pWkDrcQ97pAfM0liv7fsxMzs=,All of Our Days,Jeff Xilon,24,2015-06-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue24/chapter/all-of-our-days/,"“Wake up, Tyrone.”",./scrape/jsonfiles/B+vyW+9mtuTFv1cGOtKfRyVeYQ8.json,TRUE
VQQ4ATXwMIdGVDEcGbsVlk/JfZU=,Oversharing,R. J. Theodore; illustrated by Alexxander Dovelin,100,2022-02-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/oversharing,"The day after I lose my job, it begins as a crust in the corner of my eye. It leaves a scratch as I brush it away.",./scrape/jsonfiles/dkqhCqREvMAjD8UawEUTqNBbcPw.json,TRUE
6Rnwc9RMam5mDEzLaxYF25JX+pM=,They Sent Runners Out,Sarah Pinsker,10,2014-02-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue10/chapter/they-sent-runners-out/,"My twin brother had been a dry-eyed baby, and he grew into a dry-eyed boy.",./scrape/jsonfiles/cVvwA-cAk0-+LppWCB61ssaYF6w.json,TRUE
K9LxC37jwpuSb7dDxzDWoVrWL2A=,Choose Wisely,Fran Wilde,62,2018-12-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/choose-wisely,"You sip your coffee down to the dregs, then cast the spell for another, noting you have some time before work this morning. No doctors’ waiting rooms today. ...",./scrape/jsonfiles/BlknJqVb+LHqAaT428KUaCz7Oic.json,TRUE
imUeiEo3OEJnw9I5USsBWwr1HPY=,Mandragora,Nibedita Sen,77,2020-03-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/mandragora,"The mandrake root is the same deep brown as Kavya’s skin. Its limbs are chunky and tuberous, and its fibrous skull has the weight and feel of a coconut in he...",./scrape/jsonfiles/aujbHrcUqk+YSh4poJDycljHAbI.json,TRUE
jsC6rhZDdbDjg14g2wzgGmJ5I7k=,Phases of the Moon,Alice Towey,89,2021-03-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/phases-of-the-moon,New Moon,./scrape/jsonfiles/ClxVyHOR8Gn2Bvg5ZS-8s5Jb-k8.json,TRUE
b19rgB1BkUm8i14Sh6y5K7CmaYs=,"Something Borrowed, Something Blood-Soaked",Christa Carmen,48,2017-10-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/something-borrowed-something-blood-soaked,The fire gave an inviting crackle as Bella’s new husband locked her in a fervent embrace. Bella pulled back. “We should get going. Everyone will be wondering...,./scrape/jsonfiles/mQvYtY3vBVQAu-J2k-+KEH30ah8.json,TRUE
eYb+quX+7Pn0dwEB/NzAXn3Msiw=,A Guide to Exploring Abandoned Gold Mines,,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/a-guide-to-exploring-abandoned-gold-mines,Do not bring a flashlight.,./scrape/jsonfiles/mZcc2+QZugaKfa6QeSvp6q+-6qs.json,TRUE
Yqyu9qzX68VA9j11zGgJWgXkq1s=,Gold Farmer’s Daughter,Aidan Doyle,29,2016-01-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue29/chapter/gold-farmers-daughter/,"Mei’s contract specified she would only get paid if both the bride and groom, along with at least fifty percent of the guests, survived the wedding. Against ...",./scrape/jsonfiles/NESSLU0irFXTrJy19bp9Q5q8E+o.json,TRUE
QgrKVIkbwzTIcTZNKQWOeETFOHI=,Dust to Dust,Mary Robinette Kowal,52,2018-02-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/dust-to-dust,"The mudroom got darn hot in the summer, but he couldn’t risk doing magic inside the house. It got into the air conditioning and caused all kinds of trouble. ...",./scrape/jsonfiles/6tOxTyWsvC-zmGI8X5AnDinEt+w.json,TRUE
SKKit9cOoAqOPrPwMO2Hoq9pX2c=,Larga Distancia,un cuento corto por Raquel Castro,68,2019-06-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/larga-distancia,"A veces, mi madre me llama sólo para saludar: me dice que se acordó de mí por una canción que escuchó en el microbús o por una fotografía en una revista (ell...",./scrape/jsonfiles/xyr-UzGak+DzhfiL7DVorK6cQ2I.json,TRUE
kr5BBj7Sa+dmlPwYg+Z6N9rmccw=,By the Mother’s Trunk,Lisa M. Bradley,53,2018-03-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/by-the-mothers-trunk,"Elephants have 1,948 olfactory receptors. Dogs have 811. Humans have only 396, fewer than guinea pigs or softshell turtles. An elephant can smell water 12 mi...",./scrape/jsonfiles/yAK7g56XCg8f-ztmNtHdwws1IA0.json,TRUE
2mcIWbWdcdpPDdcTog7Dg1QCC10=,Fear of a Stuntwoman,Abra Staffin-Wiebe,95,2021-09-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/fear-of-a-stuntwoman,"A skyscraper loomed over the bustling anthill of the film crew’s activity. Chloe’s gaze followed the skyscraper’s floors up, up, up to the sixtieth floor and...",./scrape/jsonfiles/4FjXeI35OgBglwg8kF+GCPnZfgs.json,TRUE
0KBud9MqoxmJXWMtGvsdhUOeBo0=,Silver Hill Hotel,David Alex Shepherd,14,2014-06-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue14/chapter/silver-hill-hotel/,"Silver Hill Hotel, Pine County, Nevada.",./scrape/jsonfiles/7nA3tkQ8fkWnKgTMNJ2ksjv+qGg.json,TRUE
d3e5xulEiTkjmKXEeBPDvNUKPbs=,By the Storytelling Fire,Jaymee Goh,63,2019-01-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/by-the-storytelling-fire,"The fire crackled and cast shadows on the trees. They lay on either side of it, watching the fire, but secretly also each other.",./scrape/jsonfiles/YOd-FN75ajVk4ywBD04FM+pEyzg.json,TRUE
lwKr/LsLlmyL+UtGnyDjG69QwNI=,50 Ways to Leave Your Fairy Lover,Aimee Picchi,54,2018-04-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/50-ways-to-leave-your-fairy-lover,"Dear Mia, Are there really fifty ways to break up with a fae, you ask? I suppose you wrote to your grandmother because you’ve heard that back in the day I wa...",./scrape/jsonfiles/E6C3-ObPvFe6H0ob7ZbmgCFVlHw.json,TRUE
aEnfeCT+mFBfIgOkJlMTkEGaQ1w=,Beast of Breath,Gillian Daniels,56,2018-06-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/beast-of-breath,Half a spoon was left inside my computer bag. I found it on the train to work when I reached inside for my book.,./scrape/jsonfiles/oDSDHWLtDAFI9qI95P6g4seF3CU.json,TRUE
/Wg9lfTXkGe5gQICypyHMDjiezw=,The Cutting Yield,Hillary Jacques,16,2014-10-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue16/chapter/the-cutting-yield/,Gramma Gershon taught me many things. When to pick berries to capture the brightest color and sweetest taste. Why to avoid wild mushrooms. Plump and meaty as...,./scrape/jsonfiles/5sDw1DrlCIQLWkIALbaNYyQ0s-s.json,TRUE
rCspONiISA/aFbqBfxmHN53Jy5A=,Baterías,un cuento corto por Patricia Coral,73,2019-11-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/baterias,Recojo baterías para ti de la misma forma que un agricultor recoge su cosecha. Recojo baterías para ti como mami recogió sus orquídeas antes que llegara el h...,./scrape/jsonfiles/AqYDSsoWQzGE2EqM4KkeTRKwqdg.json,TRUE
LUbJiglOu3SERrsWVN9yhDsAGOI=,To the Moon,Ken Liu,1,Spring 2012,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue1/chapter/to-the-moon/,"LONG AGO, when you were just a baby, we went to the Moon.",./scrape/jsonfiles/ndrrB8tm63zwfNt6gg1FgRU6cNQ.json,TRUE
tOnBXrm3KkqMCB2OuQKhPnBY478=,The Imperishable Birds,Vajra Chandrasekera,75,2020-01-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/the-imperishable-birds,"Kusul burns the birds on camera. The shot is wide so that you can see all seven birds, yellow-billed babblers that won’t sit still long enough to catch fire....",./scrape/jsonfiles/0JJHt4aLqOUdfa6KCWoju3uiFpQ.json,TRUE
12nUu+EAdnIT0peqQWFuATEQv6o=,Guidelines for Appeasing Kim of the Hundred Hands,John Wiswell,94,2021-08-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/guidelines-for-appeasing-kim-of-the-hundred-hands,"1. To make an offering, be sure to visit the actual statue of Kim of the Hundred Hands. She is not honored if you visit a replica statue. The real Kim of the...",./scrape/jsonfiles/em8+vFafSe4DPp1GzrjkCcr4EdU.json,TRUE
hpznEvu3kKEU4qJ+Zt+h7ZjkDeU=,"Alexa, Play Solidarity Forever",Audrey R. Hollis,94,2021-08-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/alexa-play-solidarity-forever,"The problem was that I’d called tech support, and now I was being called a Pinkerton. Five minutes ago, I’d have told you that Pinkerton was a cartoon dog, b...",./scrape/jsonfiles/-L8rsF-PpAfaXNSUF0au5GJRCRk.json,TRUE
PsHveKLuUV6BqN958UY4JvNEWGY=,"Godfather Death, in His Own Words",John Wiswell,97,2021-11-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/godfather-death-in-his-own-words,"I met him the night his mother had the misfortune to birth him. There was a sadistic wind out, crueler than any snow, threatening to tear up the entire oak f...",./scrape/jsonfiles/XHYWOkE5sygaIPz0c1sGMsbrldI.json,TRUE
r2KlLppbcyaadHdApH6MR+3WPeg=,Roots to Touch Sky,Sheree Renée Thomas,64,2019-02-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/roots-to-touch-sky,1. The story of trees is pressed into their flesh and in their gnarled roots breath The amount of foliage overhead can be corrected with the amount of r...,./scrape/jsonfiles/iJZLzScQWBhHPmUs18fFoJTkoqA.json,TRUE
Qze+VQdPGb/q8afJ7ldyG3ktAJs=,God Talk: Advice From A Deity in Distress,Alexis A. Hunter,39,2017-01-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue39/chapter/god-talk-advice-from-a-deity-in-distress/,What makes a god a monster?,./scrape/jsonfiles/JAsxATSIZ5pd-z07euPFhPF4tDM.json,TRUE
IUAIz7unDjiGj7ekTTOa+nxBSU8=,Dog Years,Ace Tilton Ratcliff,80,2020-06-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/dog-years,"There was an incessant bumblebee buzzing in Kim’s ear. She couldn’t hear what the doctor was saying, even though this was the second time she’d asked him to ...",./scrape/jsonfiles/vbN2xdYKAzaGis6wJdJ6J-Cag-8.json,TRUE
qn2uHt4b/uT7TwQQaZhfHIMSx7I=,Reaching Beyond,Evelyn Wong; illustrated by Galen Dara,47,2017-09-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/reaching-beyond,"October 1965 - Semarang, Indonesia The blazing sun beamed down on me through the palm trees. My legs pumped madly as I ran through the tall grass, looking fo...",./scrape/jsonfiles/nt9ZWpFEAXJrVaj6SdU54AsJXbM.json,TRUE
VXRGFa2cljay4yNq1uDAAIP8ckY=,Contract Witch,Elizabeth Cobbe,89,2021-03-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/contract-witch,"When asked if she’d join the team in launching the enchantments that would destroy most of Central Texas, Carly hesitated. “Well,” she began.",./scrape/jsonfiles/cD2liUOusMXaHfsZBERe7qMnb7I.json,TRUE
sZO9xxbpd73X7kuGgSvzrC/Mpdw=,"Red as Blood, White as Snow, Black as Ebony",Jordan Taylor,32,2016-04-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/red-as-blood-white-as-snow-black-as-ebony/,"After word of the Snow White incident got around the kingdom, someone made a killing off the invention of spring-loaded glass coffins. Just pull a lever insi...",./scrape/jsonfiles/HYQdPDDYVjexHtphLF6MUBqBZ50.json,TRUE
jfp31iHn12T2qXFrV138lhAsX4A=,The Unseen,,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/the-unseen,"When fog comes in fingertips pressing the windows, it takes the distance first, that mountain we always said we’d climb, the tug in the harbor with its low h...",./scrape/jsonfiles/oE9OVXvNC7S+QyzzLLcXOc0m-u4.json,TRUE
NfPBnug2zKMNBVkoVg4h0WBIIps=,"Sheer in the Sun, They Pass",Hester J. Rook; illustrated by Paul Kellam,99,2022-01-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/sheer-in-the-sun-they-pass,"I do not remember dying except for the feeling of waking, and waking, and waking.",./scrape/jsonfiles/E2HVcWoMVWME5Rz33udZ3JWYeyY.json,TRUE
xuIxt00Jl7xM1nRTVPNyl4CntO0=,Pendants of Precariousness,D.A. Xiaolin Spires,60,2018-10-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/pendants-of-precariousness,Laki,./scrape/jsonfiles/cAZE0tiUahxJcDebvDGO5Xh23pM.json,TRUE
